,Unnamed: 0,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,score
3625,3625,US,21872166,R11VGKU2P5K1FZ,B00BB8ZIW0,253917972,remington silk ceramic professional hair dryer,Beauty,5,20,23,N,N,Must buy! Glad I bought it!,"I have to say, this dryer is amazing! I have long, thick, naturally curly hair, and I use a hair dryer a few times a week with a round ceramic brush to straighten it. I previously had a $150 professional grade dryer (5 years, and it finally died), and I did some research prior to buying a new one to see if I could save that expense. I bought this dryer and I was shocked that it actually worked BETTER than my $150 dryer! My hair is softer, the blow out lasts longer, and it dried faster then my old dryer. Must buy! If it works on my difficult to straighten hair, it will definitely work on anyones!",11/23/2014,43.47826086956522
3686,3686,US,41700707,R1TCUKCA0CC7NG,B00JH2C3DE,768062995,panasonic eh-na65-k hair dryer,Beauty,5,25,30,Y,N,It's to dry for!,"I am not one to buy an expensive hair dryer, but this Panasonic with Nanoe technology is worth every penny.  The quality is self-evident when you open the package and pull out this professional sized hairdryer.  Although it looks like it would weigh a lot, it is surprisingly light and easy to handle. The controls are simple on the handle, with one side of the switch for temperature, cool, warm, and hot.  The other switch is for high or low air flow, yielding 6 possible combinations.  The Nanoe comes with three nozzles, which slip onto the front of the dryer.  The Set Nozzle for precise styling, the Quick-dry nozzle for drying hair quickly and the Diffuser for creating full bodied hair with volume and styling.  The is also a Cool Shot button on the handle to temporarily turn of the heat, to allow time to style.  The dryer comes with a heavy duty 9 foot cord with a safety overheating/reset plug.<br /><br />The Panasonic has Nanoe technology, which takes moisture from the air and your hair and puts moisture rich particles, small enough to penetrate your hair shafts.  That's quite a mouthful.  What it did for my hair was make it soft and silky, and I can see nuances in the color which I didn't notice before.  The blonde is blonder, the brown is richer.  My hair dried quickly and quietly, none of the loud buzzing in my ear.  As I run my fingers through my hair, there is none of that dry, frizzy, overblown feeling with my lower priced dryers.<br /><br />For results like this, you need to make an appointment at a salon.  If this is in your budget, highly recommended.",11/18/2014,96.66666666666669
3799,3799,US,14232513,R2MKBHP726Y8LI,B00JXQ06X8,619941271,bed head curls in check 1875 watt diffuser hair dryer,Beauty,5,38,42,N,Y,Short fingers on a round diffuser are hard to find!,"This is the only diffuser of this variety I've ever found that has short fingers.  Normally the fingers are so long that it is impossible to get the heat close enough to my hair to not take forever to dry.  (I hated those long fingers when I had long hair, and I still hate them now that I have short [not even to my chin] hair!)  This diffuser does blow hair around a bit more than a traditional diffuser (for example, the old school ones w/ the black foam-like material), but this doesn't bother me since my curls are uneven in texture and lend themselves to a beach-y, messy type of look.  Might cause frizz for tight curls, though.",11/6/2014,90.4761904761905
3982,3982,US,42645641,R3IWTPBOFL4GWY,B001UE7D2I,127343313,andis 1875-watt tourmaline ceramic ionic styling hair dryer,Beauty,1,10,10,N,Y,Don't waste your money on this,Don't believe the &#34;High-velocity airflow&#34; statement - this hair dryer only had a low & medium setting.  I don't have what people would call a thick head of hair and it took a long time for me to dry what I have.  The hair brush was flimsy and the bristles were mangled when I received it.  Another thing I didn't like was that it is quite heavy and the handle is long so it makes it seem even heavier when you are holding it.  I ended up returning it since it was pretty useless to to.,10/20/2014,100.0
4199,4199,US,52630071,R3AAORFMOR0STB,B002MHW4MG,415529274,travel smart by conair dual voltage 1200 watt folding hair dryer,Beauty,1,39,50,N,N,Awful Product,"I was initially pleased with this compact, inexpensive dryer.  But when I tried to switch it to 250 volts before traveling,  I found it is poorly designed, poorly documented, and dangerous.<br /><br />First, the documentation does not make it clear that you MUST switch it manually from 125 to 250 volts.  From the other reviews I can see that many people will assume it will switch automatically (like most laptops and cell phone chargers).  It will not.  These other users apparently did not flip this switch and reported that it gets hot and noisy when they use it at 250 volts. This is expected and is extremely dangerous.<br /><br />The switch is horrible.  It has no markings to point to the 125 or 250 volt setting, so I had to guess.  Only by trial and error (and the fact that it was supposed to be initially set to 125 volts), did I figure out which was which.<br /><br />I needed to use a screwdriver to turn the switch because, unlike most devices, a coin will not fit in the slot.  So unless I would have brought my toolbox with me on my trip, I could not switch it (even if I was aware that you need to do so).<br /><br />After turning the switch back and forth a couple of times it broke.<br /><br />I am a mechanical engineer and I decided to take it apart to see if the design really is as bad as it appears.  It is.  Switching the badly documented, badly designed switch is really necessary to change the circuit from 125 to 250 volts and avoid dangerous overvoltage and overheating.",9/28/2014,39.0
4217,4217,US,11610135,R1NIE2I2RVXPDS,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,Beauty,5,27,32,N,Y,Perfect,"I love this hairdryer. It does blow HARD on the high setting, which is exactly what I wanted. I also love the hot, medium and cold settings. You can set it there and go on your way - unlike other hairdryers where you have to hold down a &#34;cold&#34; button to get the cold air. I try to use the medium setting as much as possible to limit the heat damage to my hair. The only thing that would make this hairdryer better is a retractable cord! :-D",9/26/2014,84.375
4224,4224,US,28970446,R1RTLZ6C6J65K1,B006BNFXHU,591023894,mangroomer 1680xl-6 professional ionic hair dryer for men,Beauty,4,16,19,N,N,Great Blow Job!,"I don't care about any attachments that come with a blow dryer and toss them on arrival.  Manly Men, like me for example, don't use blow dryers because that would be vain and, you know, unmanly.  UNLESS maybe the man lives in a really cold climate, let's say Chicago for no reason in particular, and would risk forming an ice hair helmet if he left the house with it still damp.  In that scenario I think it's probably okay so long as he uses a blow dryer that has the word MAN in its name and doesn't talk about it, ever.<br /><br />I give it four out of five stars, because it's okay for a guy to like a blow dryer, but unmanly for a guy to love one.ive it four out of five stars, because it's okay for a guy to like a blow dryer, but probably not only unnatural, but more importantly, unmanly for a guy to love his blow dryer.",9/25/2014,42.10526315789474
4261,4261,US,24389935,R1AKFUK3F97IRQ,B000S8JB36,276205451,"herstyler pro-fusion dryer – negative ion technology, far infrared heat, ergonomic design – best hair dryer – professional quality",Beauty,4,13,13,N,Y,I actually LOVE this hair dryer and would give it 5 starts ...,I actually LOVE this hair dryer and would give it 5 starts but due to where the on/off button is (right where my thumb warps around the handle) I keep accidentally shutting off the unit while I am using it--so for me there is a tiny design flaw. The dryers works quickly and leaves my hair shining and healthy.,9/21/2014,100.0
4284,4284,US,43966088,REKOCDKRELLWP,B00JH2C3DE,768062995,panasonic eh-na65-k hair dryer,Beauty,5,36,42,N,N,Great Hair Dryer!  Well Worth the Money!!!,"I have long hair, that is about half way down my back.  I've never been a huge fan of blow dryers and used to just let my hair air dry.  Lately my hair is wavier than it used to be if I air dry it, so it doesn't look as nice, and I've started blowing it dry most times I wash it.  Previously, I've only purchased a couple of hair dryers, and I don't think I spent much money on them.  I have been dealing with some flyaways lately too so when my previous blow dryer quit on me, I did a little research before buying a new one.  I never anticipated spending this much money on a blow dryer.  I mean, aren't they all the same?  I soon learned that the answer is NO.<br /><br />This is still a fairly new product, so there were not a lot of reviews to go by.  I did research on what to look for in a hair dryer.  It was pretty easy to decide that negative ions are a good thing when buying a hair dryer.  Tourmaline? Ceramic? Well, ok, but what about nanoe?  It seems that Panasonic is the only one using this technology right now.  Infuses 1000x more moisture into hair than typical ion hair dryers?  I was definitely skeptical when I read that.<br /><br />I knew that I definitely wanted separate controls for speed and heat, and the Panasonic EH-NA65-K has that.  I was also hoping to find a hair dryer that came with a couple of attachments.  The nozzle for my last hair dryer would come off sometime when I was using the hair dryer because it just slipped over the end of the dryer.  The Panasonic comes with 3 different attachments that snap into place and can be turned to whatever orientation you are looking for.  They are nice attachments!<br /><br />As I said before, there were only a few reviews out there, but what was there was nothing but great reviews.  What the heck, I decided to give it a try and I must say that I'm very pleased.  This hair dryer is quite a bit quieter than my previous one.  I also really noticed how much I am used to the quietness of this the last time I got a hair cut and the salon used a regular dryer to dry my hair.  It was way louder.  This also dries my hair much quicker, which is really nice.  With the amount of hair I have, it takes a while to dry.  Most of the time I am using the quick dry nozzle.  I also found that I didn't need to brush my hair while using this hair dryer.  I just dry it free style and my hair looks good and straight when I'm done.  As for the flyaways, it didn't completely solve that problem, but it does seem to make that better too.<br /><br />After using this hair dryer the first time, I thought my hair looked a little darker than normal, and figured that my mind must just be playing tricks on me since I know this is supposed to infuse moisture in my hair.  The next day, one of my coworkers asked me if I did something different to my hair.  I asked why they asked and they said my hair looked a little different color than normal.  I have natural red hair and have never dyed my hair before.  I couldn't believe it!  I didn't tell anyone that i was getting a new hair dryer.  That told me that what I noticed must have been true.<br /><br />To summarize, I am very happy with my new hair dryer.  It hurt to spend this much money at first, but now I think it was well worth the cost.  Now I just wish that Panasonic would come out with a travel size nanoe hair dryer.  This hair dryer is a little larger than a regular one, due to the nanoe port on the top.  Between that and just the weight of it being a full size hair dryer, I don't really want to take it with me when I travel.  I travel for business about once a month a really miss this hair dryer when I'm gone.<br /><br />Panasonic, please make a Travel Nanoe Hair Dryer!",9/19/2014,42.857142857142854
4364,4364,US,41541115,R1TRFK7LJH1FQ4,B00JQIAUDY,888313825,"andis 500-watt professional bonnet hair dryer, black (80610)",Beauty,5,68,72,N,Y,I love it!,"I used this dryer for the first time yesterday for my deep conditioning treatment and let me say, AWESOME! It distributes heat so evenly that when I took the cap off the conditioner penetrated really well! I love it!",9/12/2014,94.44444444444444
4426,4426,US,6786996,R1UCZIII68B4OO,B00JQIAUDY,888313825,"andis 500-watt professional bonnet hair dryer, black (80610)",Beauty,4,37,39,N,Y,LOVE IT!,Love it...only have one problem...bonnet isn't large enough.  For most people it would work great but I use very large rollers and the fit is tight..but it dries so fast and is very compact...great for traveling.,9/6/2014,94.87179487179488
4427,4427,US,44517962,R14ACQ7K1S6953,B00JH2C3DE,768062995,panasonic eh-na65-k hair dryer,Beauty,5,21,23,N,Y,Love it!!!!,This hair dryer has been amazing. I have very curly hair that is sensitive to heat and I found that this hair dryer does not dry my hair out. I am a sceptic at heart and have been disappointed by many dryers but I have to confess than after a few months of use it has improved my hair. I do find that my curls are less frizzy and do not tend to dry out as much thoughtout the day. I have never found drying my hair an enjoyable experience until now. This dryer is not cheap but not the most expensive either and well worth the price. I will be buying the flat iron in the future!,9/6/2014,91.30434782608695
4431,4431,US,18430489,R1ACL37JXR48N5,B00JQIAUDY,888313825,"andis 500-watt professional bonnet hair dryer, black (80610)",Beauty,5,51,54,N,Y,Love this hair dryer,"Love this hair dryer. Heats up nicely. Light weight can sit anywhere comfortably. Works like a charm. I definitely recommend this particular hair dryer to any one. The bonnet is very large, durable and adjustable. Will probably never purchase the hard hair dryer again. It has a. Compartment for the bonnet and the power cord. Real easy to use.",9/6/2014,94.44444444444444
4510,4510,US,37590519,R1BGF8OU3LXMDC,B00016KMIS,983445543,sunbeam/oster 1500 watt wall mounted hair dryer.,Beauty,5,23,23,N,Y,Best Wall Mounted Unit on the Market,"Right after I first encountered one of these units over 15 years ago in a California motel, I have bought and installed them in all three of our bathrooms.  I have used competitive designs in other motels, but find that this one is still the best, and is reasonably durable.  Based on my experience, I would guess that a unit is good for about 3,000 uses, at a cost therefore of about 1 cent per use (not counting the cost of electricity).  In addition to high  and low fan settings, It also has two power (heat) settings; 1200 Watts and 1500 Watts; I prefer the higher one. The unit is shipped with the 1200 Watt setting.  In order to set it to 1500 Watts, you must pry off the air intake cover to get to the hidden switch.  You can also hide almost any length of excess power cord in the raceway on the back of the unit.  You may need to experiment some and use some sharp U-turns to get the length just right for your situation. You should also pry off the air intake cover and vacuum out the air intake grill at least once each month to maintain good air flow, and to avoid tripping the overheat thermal protector. I use the little lever on a fingernail clipper as a pry rod.  It fits just right into the pry notch. I too liked the smaller and utilitarian design of the older model, but understand that most buyers prefer the ergonomic look of the new unit.  When you stored the older unit into a mechanical clip, it gave you an audible click to let you know that it was firmly in; the newer model uses a magnetic mount. You don't have to jam it in, but you do need to make sure the magnet has taken hold before you pull away your hand.",8/28/2014,100.0
4520,4520,US,43861068,RRHW1PGWRRTSS,B00JQIAUDY,888313825,"andis 500-watt professional bonnet hair dryer, black (80610)",Beauty,1,30,35,N,Y,Andis Professional Bonnet Dryer,Dryer broke during first use between the base and the dryer itself.. It cracked it still worked and dried my hair well however it is made very cheaply with cheap plastic!!:-( :-( :-( :-(,8/27/2014,85.71428571428571
4635,4635,US,42041629,RYY6MRQB7Z72H,B009ZPMPGI,711329162,conair 1875 watt ionic conditioning cord-keeper folding handle hair dryer,Beauty,5,49,52,N,Y,Travel Dryer,"Read all reviews and still bought this dryer, I think some people expect to much from a product so far this dryer is doing what I expected it to do. The retractable cord is working and the handle folds like it should and provides proper heat and cooling.",8/16/2014,94.23076923076924
4836,4836,US,13352935,RN28T7921K3ZE,B002B8VE4U,74735317,travel smart by conair dual voltage 1875 watt hair dryer,Beauty,2,17,19,N,Y,"BEWARE, only works on LOW setting at 240V","Beware, it doesn't work on HIGH when switched to 240 Volts.  I purchased this hair dryer to travel abroad.  I tested it at home as soon as it arrived at 110 Volts/ US and I loved it.  I was impressed at how powerful the HIGH speed setting was for a travel hair dryer.  Since I was headed to Europe I switched to 240 Volts and put it inside my suitcase. Once I arrived at my hotel I was very disappointed to find out, that once you switch to 240V you cannot flip the power switch to HIGH, you must try to dry your hair on the LOW setting which is no better than the hotel hair dryer. At first I thought it was just bad luck and went to try out my daughter's dryer ( I purchased two of these dryers since I was traveling with four teenage girls).  Their's did the same.  You can verify this at home, just put it on 240V and try to switch it to high with the dryer unplugged, you'll see that the switch won't move.  You can only go from OFF to LOW. If you are happy with the power at the LOW setting and your hotel doesn't provide a hair dryer, them this is better than nothing, otherwise don't even bother taking up space in your suit case to carry this dryer, you are better of just using the one the hotel provides.",7/24/2014,89.47368421052632
4873,4873,US,44510835,R3PEOKXGTEAVQI,B00JQIAUDY,888313825,"andis 500-watt professional bonnet hair dryer, black (80610)",Beauty,5,53,54,N,Y,Five Stars,"Love this bonnet dryer, so convenient and easy storage!",7/21/2014,0.4416666666666667
4957,4957,US,15457912,R2O2ZX7BJ5HU9Y,B002MHW4MG,415529274,travel smart by conair dual voltage 1200 watt folding hair dryer,Beauty,5,16,17,N,Y,Great for travel.,I love the travel smart conair 1200 watt for traveling. It is small and packs easily. The wattage is easily changed for travel abroad. It actually had two speeds when I used it in Europe. Often hair dryers have two speeds in the states but when traveling abroad with the change in voltage they do not. I was very happy with the travel smart dryer and will use it each year when we travel abroad. I would highly recommend it for foreign travel.,7/12/2014,94.11764705882355
4983,4983,US,51542693,R3HVC2EIPDHPR1,B000FS1W4U,235105995,"revlon essentials 1875w fast dry hair dryer, rv408",Beauty,1,15,20,N,N,Use at your own risk...,"I have had a similar experience as many other reviewers. This hair dryer has worked for me for about a year now. However, I have always noticed it would spark while I was using it. I cleaned out the back where dust had collected thinking that this may be the problem. This did not stop any of the sparks. Now, I have noticed that I've smelled my own hair burning! Besides all of these problems, this hair dryer is labeled as a &#34;frizz control&#34; dryer. That couldn't be any further from the truth. I have never had a hair dryer cause more frizz than this one. Don't go for this cheap dryer. Spend a little money and save your hair.",7/10/2014,37.5
5115,5115,US,10468966,RGMMTRA7NVST2,B001AFFBCG,392681682,revlon 1875w compact travel hair dryer,Beauty,1,16,16,N,Y,UGH,Did not like it at all. It gets way too hot and the piece does not stay on. Save your money and buy a better one. There are no heat settings so you are stuck with the hot one that eventually will dry out your hair. I had to return it :(,6/24/2014,100.0
5129,5129,US,23634635,R3E2TPN91YWVAD,B009ZPMPGI,711329162,conair 1875 watt ionic conditioning cord-keeper folding handle hair dryer,Beauty,2,22,24,N,N,Not the Same as the First One,"I bought a second one about 6 months ago, since I loved the first one I had for 5 years.  The first retractable cord was great.  It dried my hair quickly.  This one is very different.  First the cord doesn't retract completely.  It didn't after the first week.  Then, this week the plug cracked wide open.  The cheap plastic just cracked.  I don't remember hitting it on anything, but maybe it happened when I tried plugging it into an old outlet.  Whatever happened, I've never had a plug crack wide open before.  Like many other new appliances on the market, this one is inferior to the exact same model we could buy 5 years ago.",6/22/2014,45.83333333333334
5210,5210,US,17253826,R2QQX776EDUFNQ,B000FS1W4U,235105995,"revlon essentials 1875w fast dry hair dryer, rv408",Beauty,1,84,92,N,N,"PLEASE, DO NOT BUY THIS PRODUCT! IT MIGHT END YOUR LIFE.","I bought this product yesterday, and took it out of the box for a test run. Immediately, I liked the color and how light it was. I really wanted to love this dryer, I promise.<br /><br />So, I get it out of the box and unwrap it. Comes with a set of instructions and an individually wrapped concentrator. Never really use those, but cool, okay. I attach the concentrator to the blowdryer, and plug it in - not near any kind of water whatsoever, I assure you.<br /><br />I let it blow out air for a few seconds and adjusted the heat. No lie, literally TEN SECONDS after it was turned on, the blow dryer turned an intense red color. I thought it was just a gimmicky effect, but NO -- the heat was spreading quickly toward the handle and it became unbearable to hold due to the heat within miliseconds. I quickly shut it off, only to see SPARKS FLYING OUT OF THE DRYER. FOR A GOOD FIVE SECONDS.<br /><br />Okay, maybe I did something wrong. Maybe it was a fluke. I take off the concentrator just for good luck, and plug it in again. The thing roars to life, becoming red, and starts to shoot out sparks again almost immediately. A few unfortunate strands of my hair are caught in the frenzy of it all, and are singed.<br /><br />I'm so glad that I didn't wait until I actually had to DRY MY HAIR to test this item out -- who knows what would've happened if the dryer were closer to my hair????<br /><br />I thought I got a lemon of a product, but a quick google search proved me otherwise -- check the one-star ratings here, and you'll know what I'm talking about. A woman on one of the sites I found during my search - search &#34;Dangerous Revlon Hair Dryer Malfunction - PlanetFeedback&#34; to see what I'm talking about - wrote that she actually got THIRD DEGREE BURNS from her product and is planning to sue.<br /><br />I'm shipping this thing back, and am never trusting Revlon again. Please, save your money (and yourselves)!! Do yourselves a favor and invest in a different product.",6/9/2014,45.65217391304348
5240,5240,US,19531627,R25A8GBFMEF5AE,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,Beauty,1,13,17,N,Y,"Short coord, styling attachment doesn't attach","I'm a big fan of con air and ION dryers in general. However, I'm disappointed in this product and would not recommend it.<br /><br />1) The styling attachment falls off 5-6 times during any blow dry. The latch or ability to attach is minimal. While blowdrying your hair, expect it to go flying and fall to the floor. Extremely frustrating and annoying<br /><br />2) The coord is very short. Unless you have an outlet right by your mirror and from waist-level or higher, you will need an extension coord to use this dryer.",6/6/2014,76.47058823529412
5254,5254,US,29587319,RZGGSE105AMY8,B00APV7OWG,443954263,onei mk-ii air ionique hair dryer with ionic generator for professional blowouts,Beauty,1,10,15,N,Y,Buyer BEWARE!,"Do not be fooled by all of the fabulous reviews for this dryer.  Mine stopped working completely after less than six months.  I contacted the company and they told me to send it back with a note saying &#34;defective&#34; and my address so they could send a replacement.  I paid $12 shipping to send it to them.  It's been two weeks and I have yet to receive a replacement.  I have contacted the company multiple times since to find out what is going on and I have not received a response.  Terrible hairdryer.  Terrible company.  For all we know, their company representatives could be the ones writing the glowing reviews because I don't know how anyone could actually recommend this product or company.  EXTREMELY DISAPPOINTED.",6/3/2014,66.66666666666667
5398,5398,US,11966599,R34RDPZXGRF2AI,B001UE7D2I,127343313,andis 1875-watt tourmaline ceramic ionic styling hair dryer,Beauty,4,224,230,N,Y,Great STYLER dryer,"I am a cosmetologist of just about a decade. The main reason that I purchased this dryer was its price, practicality and its brand. Andis is one of the leaders in professional clippers in the hair industry, so I figured that I would give this dryer a shot. I have fine/normal curly just to about the ears, and this dryer gets it QUITE straight.I must admit that the &#34;high velocity&#34; air speed is not there, however, The HEAT is REALLY intense. As a professional, if I had to compare this to a standard salon dryer, performance wise, I would say that it acts a lot like the original Chi dryers, low speed, INTENSE heat, with ionic coating to break water molecules up faster. Now, that being said, if someone wants a dryer that really BLOWS the water out of the hair, I would recommend, concerning affordability and professional performance, the Babyliss 2800,  not that weighty and TRULY cuts drying time, in half, has a 3 year warranty AND Amazon sells it for half the retail price .<br /><br />This little Andis dryer works great for hair shorter than top of the shoulders, if you have really thick/curly or long hair, I would recommend use a T parting in your hair (draw a straight line with a wide toothed comb from the center of your eyebrows, to the back of your neck and comb each section down, from the very top of your head, draw a line from ear to ear to make a lower case 't' on your head) and do your hair in quadrants, (clipping them with butterfly clamps helps to keep other sections out of your way) 3-5 min extra prep time, but works WONDERS for straightening effectively, and saves you time in the end.<br /><br />This dryer does exactly what it says, it 'styles' hair, quite nicely might I add.The attachments are better than other vertical dryers that I have owned.The brush attachment is boar bristle, which allows one to naturally distribute oil through the hair, which is essential to a less frizzy and smoother blow dry. For those who have coarse, thick,tightly curled, or all of the above, use the comb attachment that best suits you, and use the brush to set and smooth it in the direction that you would like it to go, this will 'mold' your hair. Air cool the section that you are working on,The cool shot button on ANY dryer is almost useless, takes too long to cool, by the time it does, the section that you are working on is practically almost ready and is 'set'.<br />Overall, this is a four star dryer, it comes with a FIVE year warranty, it's very hot, and it is great for people (like me) who suffer from carp-tunnel and arthritis in their hands. At under twenty dollars, this is a great deal, it is nearly impossible to find one locally at that price, especially with a professional brand backing it. Thanks again Amazon, I find SO much great stuff here!r all of the above, use the comb attachment that best suits you, and use the brush to set and smooth it in the direction that you would like it to go, this will 'mold' your hair. Air cool the section that you are working on,The cool shot button on ANY dryer is almost useless, takes too long to cool, by the time it does, the section that you are working on is practically almost ready and is 'set'.<br />Overall, this is a four star dryer, it comes with a FIVE year warranty, it's very hot, and it is great for people (like me) who suffer from carp-tunnel and arthritis in their hands. At under twenty dollars, this is a great deal, it is nearly impossible to find one locally at that price, especially with a professional brand backing it. Thanks again Amazon, I find SO much great stuff here!",5/10/2014,97.3913043478261
5456,5456,US,10327470,RNMTATFBYBRB3,B0040VGR3Y,974237252,"twin turbo 3200 ceramic and ionic professional hair dryer, 1900 watt",Beauty,3,43,47,N,Y,Buyer Beware--Warranty Void If You Buy From Amazon,"This is an excellent hair dryer and a well-made product.  However, be advised:  The owner's manual/manufacturer's warranty included with the product--and the manufacturer's web site--both clearly state that the normal 1 year product warranty is void if the product is purchased from Amazon.",5/1/2014,91.48936170212765
5486,5486,US,30795412,R309QA518JORC6,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,Beauty,5,33,39,N,Y,Great buy!,"I needed new hair dryers for upstairs and downstairs bathrooms and didn't want to pay too much. I don't do a lot of styling, mostly just wash and dry, so I didn't need a lot of attachments. This one suited me perfectly. It dries my hair quickly and leaves it smooth.<br />My old dryer was a Conair and worked well for years. I hope this one lasts as long.<br />To anyone looking for a nice simple hair dryer, reasonably priced, I would recommend this one.",4/27/2014,84.61538461538461
5504,5504,US,36649444,R2QGF3X28M0XP1,B003S56KWQ,333479002,"remington compact ionic travel hair dryer, (colors vary) d5000",Beauty,5,17,17,N,Y,I threw away all my other dryers,"My hair is very dense and attracts static VERY quickly.  My usual blowdryer (and all the others I've owned in the past) left my hair dry but pieces of my hair sticking straight up and I'd always have to use a smoother to tame them.  Thankfully I showered at a friend's house one day and borrowed this dryer.  I came out of the bathroom and my friend was like OMG YOUR HAIR LOOKS AMAZING.  No flyaways.  No static.  My hair looked better after JUST DRYING IT than it usually did after I spent 30 minutes styling it.<br /><br />I immediately ordered this on Amazon Prime ten minutes later and tossed my old dryer as soon as it came in.  I have since bought two more for my best friends, and they swear by it as well.",4/24/2014,100.0
5797,5797,US,45101776,RVTJAO071QHGU,B0057HQ6C2,582752797,"pibbs ttec8012 twin turbo 3800 professional ionic and ceramic hair dryer, black, 2100 watt",Beauty,4,23,23,N,Y,Read the policy before you buy. No Refund ....,"This hair dryer is very good, unfortunately  this dryer blew up on me In less than on month.  Please people read the policy,  before you buy read the return policy from this company.  The stars is for the product",3/12/2014,100.0
5872,5872,US,50806517,R2OPHSZVYCJILB,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Beauty,1,28,32,N,Y,"bought 2 of these, shipping back for a refund",I really liked this dryer so much that I bought a second one.  The problem with both dryers is that after about 18 months of use both have started shotting sparks out once they get heated up.  if you have your receipt you can ship back for a refund.  Seems it is a known issue and they should stop selling or fix the issue.,3/3/2014,87.5
5927,5927,US,38897958,RYAMVEXOOYUBE,B0027SU9JU,918034537,revlon 1875w volumizing turbo hair dryer,Beauty,5,14,18,N,N,Love it !,"This is my favorite hair dryer by far. I have thick hair and it takes a while for it to dry this blow dryer cuts that time in half. When I'm done the finished look is amazing my hair is shiny and healthy looking I have received many compliments on how shiny my hair is. I defiantly recommend this! I am a product guru I'v tried many different straightener blows, curling irons and of-course blow dryers and I am very satisfied with the results",2/26/2014,38.888888888888886
5952,5952,US,43313265,R3O5F70FOL25YG,B0027SU9JU,918034537,revlon 1875w volumizing turbo hair dryer,Beauty,5,80,83,N,Y,GREAT!!!!!,"This hair dryer is everything that I could have expected. The diffuser is perfect for my curly hair. It dries quickly and efficiently. Plus, I love the controls. I'm 61, and my hair has become quite thin. This dryer really volumizes and gives my hair the perfect curl. A MUST buy.",2/22/2014,96.3855421686747
6007,6007,US,10681740,R2CP2234JCOIG3,B00BT7VOI0,407404113,panasonic nano-e nano care hair dryer eh-na95 | ac100v 50-60hz (japan model),Beauty,5,13,16,N,Y,Highly recommend!,I've using this dryer for 2 months and decided to get one for my sis and my mom too. It's different than the regular dryer cuz it comes w/ multi-functions. You can choose &#34;scalp mode&#34; for sensitive scalp and &#34;skin mode&#34; when applying face mask. Its a bit pricey but the money is all worth it!!,2/14/2014,81.25
6046,6046,US,12741482,R1L0UZ4L0Q3XPS,B0043W2C48,630355634,br beauty meredith 880w salon hair dryer with casters,Beauty,1,36,38,N,Y,Advice for other ladies,"I bought this dryer because I wanted to deep condition my hair and also do roller sets (for reference I have hair to my tail bone with curly 3c type texture). Anyways… This dryer didnt even work!! I opened the package and all the parts were there. I put it together according to the instructions…. but then when I plugged it in and turned it on, NOTHING happened. The timer worked (it sounds like a cooking timer), but nothing else did. There was no air flow, no power light- NOTHING!!!<br /><br />I will be returning this, but I am yet to hear from the seller (this just happened today). I will come back on here to write an update and let you ladies know how/if they resolve the issue. I expect I will have to pay return shipping- but thats not fair given that I was shipped a defective item! (If I do- I will leave negative feedback).<br /><br />Overall the appearance of this dryer was &#34;cheap&#34;. The stickers surrounding the dials were peeling off once I opened the box, and the dryer hood wasn't very sturdy on the pole. Don't get me wrong- I wasn't expecting this to be a &#34;Mr. Pibbs&#34; by any means, but good grief- I at least expected it to turn on!! I must've gotten a bad dryer b/c the other reviews on here are decent (hence my deciding to purchase one). But ladies take my advice…. if you want a &#34;risk free&#34; piece of equipment then just save up and get a Mr. Pibbs. Otherwise you run the risk of being in my situation with a bum dryer and the possibility of having to pay return.",2/8/2014,94.73684210526315
